"customer_id","recency_days","frequency","monetary","recency_score","frequency_score","monetary_score","rfm_score","customer_segment"
"802","368","37","22177.68","1","1","1","111","Hibernating"
"1934","370","34","21245.00","1","1","1","111","Hibernating"
"4332","395","34","20750.46","3","1","1","311","Others"
"1196","397","32","20627.85","3","1","1","311","Others"
"2275","368","32","20296.46","1","1","1","111","Hibernating"
"521","376","27","19955.94","2","1","1","211","Others"
"4031","381","35","19815.77","2","1","1","211","Others"
"2241","371","32","19522.81","1","1","1","111","Hibernating"
"245","388","32","19428.56","3","1","1","311","Others"
"2288","385","33","19183.31","3","1","1","311","Others"
"2973","422","33","18930.73","4","1","1","411","Others"
"1093","481","29","18857.22","5","1","1","511","New Customers"
"4518","393","27","18805.60","3","1","1","311","Others"
"1873","369","29","18494.80","1","1","1","111","Hibernating"
"2766","371","31","18452.31","1","1","1","111","Hibernating"
"1441","404","30","18278.46","4","1","1","411","Others"
"3822","425","29","18243.84","5","1","1","511","New Customers"
"1570","378","30","18107.40","2","1","1","211","Others"
"2846","415","31","17946.07","4","1","1","411","Others"
"1486","440","27","17929.94","5","1","1","511","New Customers"
"1796","451","28","17880.52","5","1","1","511","New Customers"
"3021","455","29","17770.27","5","1","1","511","New Customers"
"3972","368","32","17752.45","1","1","1","111","Hibernating"
"1523","371","26","17729.74","1","1","1","111","Hibernating"
"985","375","32","17722.13","1","1","1","111","Hibernating"
"3325","373","30","17665.95","1","1","1","111","Hibernating"
"3013","379","34","17651.31","2","1","1","211","Others"
"4782","376","26","17632.95","2","1","1","211","Others"
"2622","392","28","17448.75","3","1","1","311","Others"
"4944","378","35","17321.88","2","1","1","211","Others"
"4845","380","33","17290.62","2","1","1","211","Others"
"4800","393","36","17270.53","3","1","1","311","Others"
"4531","382","28","17197.59","2","1","1","211","Others"
"1091","373","32","17173.24","1","1","1","111","Hibernating"
"261","376","31","17102.56","2","1","1","211","Others"
"4061","404","23","17048.49","4","2","1","421","Others"
"2753","398","27","17023.44","3","1","1","311","Others"
"4627","407","29","17017.26","4","1","1","411","Others"
"1853","377","31","16995.98","2","1","1","211","Others"
"4078","368","30","16946.36","1","1","1","111","Hibernating"
"1096","370","32","16869.41","1","1","1","111","Hibernating"
"4700","374","26","16822.74","1","1","1","111","Hibernating"
"807","376","29","16822.05","2","1","1","211","Others"
"4035","373","28","16709.81","1","1","1","111","Hibernating"
"2087","389","32","16662.50","3","1","1","311","Others"
"897","372","22","16662.37","1","2","1","121","Hibernating"
"481","410","28","16644.68","4","1","1","411","Others"
"3035","386","28","16642.41","3","1","1","311","Others"
"1830","369","28","16627.72","1","1","1","111","Hibernating"
"3987","375","29","16600.37","2","1","1","211","Others"
"1271","372","32","16582.39","1","1","1","111","Hibernating"
"246","449","29","16575.55","5","1","1","511","New Customers"
"129","371","28","16550.91","1","1","1","111","Hibernating"
"36","370","25","16535.79","1","1","1","111","Hibernating"
"1815","375","28","16522.74","1","1","1","111","Hibernating"
"3061","405","26","16504.67","4","1","1","411","Others"
"3678","373","31","16497.42","1","1","1","111","Hibernating"
"4063","384","29","16473.12","2","1","1","211","Others"
"1795","372","37","16453.26","1","1","1","111","Hibernating"
"3845","422","28","16430.09","4","1","1","411","Others"
"1708","380","30","16411.18","2","1","1","211","Others"
"4631","397","26","16371.79","3","1","1","311","Others"
"3178","378","37","16357.66","2","1","1","211","Others"
"249","402","31","16356.29","4","1","1","411","Others"
"4817","369","31","16350.28","1","1","1","111","Hibernating"
"621","369","26","16349.26","1","1","1","111","Hibernating"
"1219","371","27","16342.33","1","1","1","111","Hibernating"
"2524","369","28","16337.43","1","1","1","111","Hibernating"
"718","376","28","16336.69","2","1","1","211","Others"
"4749","379","30","16328.65","2","1","1","211","Others"
"1363","374","28","16328.28","1","1","1","111","Hibernating"
"2431","405","28","16289.95","4","1","1","411","Others"
"2397","380","26","16289.84","2","1","1","211","Others"
"1037","420","25","16277.12","4","1","1","411","Others"
"2685","378","30","16263.66","2","1","1","211","Others"
"4172","387","32","16256.98","3","1","1","311","Others"
"3102","382","27","16235.91","2","1","1","211","Others"
"2077","368","26","16227.80","1","1","1","111","Hibernating"
"3698","394","33","16222.47","3","1","1","311","Others"
"3685","376","27","16185.94","2","1","1","211","Others"
"1685","510","28","16173.49","5","1","1","511","New Customers"
"4773","404","28","16146.02","4","1","1","411","Others"
"1724","442","25","16135.41","5","1","1","511","New Customers"
"3091","386","26","16120.20","3","1","1","311","Others"
"551","378","28","16115.65","2","1","1","211","Others"
"1755","400","30","16115.23","4","1","1","411","Others"
"3702","384","32","16090.10","2","1","1","211","Others"
"1064","370","22","16087.78","1","2","1","121","Hibernating"
"3375","370","29","16074.62","1","1","1","111","Hibernating"
"2637","379","28","16038.27","2","1","1","211","Others"
"4760","414","29","16035.49","4","1","1","411","Others"
"3971","371","26","16032.19","1","1","1","111","Hibernating"
"4947","398","29","16019.85","3","1","1","311","Others"
"4876","380","29","16017.17","2","1","1","211","Others"
"1534","370","30","16002.16","1","1","1","111","Hibernating"
"3505","436","28","15982.08","5","1","1","511","New Customers"
"82","370","23","15981.32","1","2","1","121","Hibernating"
"3759","383","28","15954.39","2","1","1","211","Others"
"2019","375","30","15948.02","1","1","1","111","Hibernating"
"3695","375","26","15915.68","2","1","1","211","Others"
"1844","375","30","15910.25","2","1","1","211","Others"
"1546","369","31","15892.38","1","1","1","111","Hibernating"
"1572","375","30","15878.85","1","1","1","111","Hibernating"
"1083","427","24","15819.36","5","2","1","521","Others"
"2026","398","29","15793.57","3","1","1","311","Others"
"1481","492","30","15788.19","5","1","1","511","New Customers"
"1045","419","25","15784.31","4","1","1","411","Others"
"3859","399","24","15758.34","4","2","1","421","Others"
"1090","401","28","15725.48","4","1","1","411","Others"
"3704","370","26","15712.95","1","1","1","111","Hibernating"
"2079","378","29","15710.84","2","1","1","211","Others"
"3047","371","27","15710.33","1","1","1","111","Hibernating"
"4851","401","27","15695.51","4","1","1","411","Others"
"556","369","28","15690.97","1","1","1","111","Hibernating"
"1411","409","29","15690.03","4","1","1","411","Others"
"3306","386","33","15659.56","3","1","1","311","Others"
"3750","424","26","15621.32","5","1","1","511","New Customers"
"813","369","26","15621.26","1","1","1","111","Hibernating"
"3928","372","25","15604.31","1","1","1","111","Hibernating"
"3319","399","28","15603.66","4","1","1","411","Others"
"2196","457","30","15589.60","5","1","1","511","New Customers"
"1608","402","30","15569.06","4","1","1","411","Others"
"1799","439","25","15569.03","5","1","1","511","New Customers"
"3643","374","28","15567.81","1","1","1","111","Hibernating"
"709","438","32","15556.03","5","1","1","511","New Customers"
"3315","416","31","15543.89","4","1","1","411","Others"
"2301","380","24","15539.76","2","1","1","211","Others"
"1939","372","31","15512.72","1","1","1","111","Hibernating"
"2923","382","25","15506.97","2","1","1","211","Others"
"3328","396","29","15497.70","3","1","1","311","Others"
"4899","417","27","15495.51","4","1","1","411","Others"
"4182","371","26","15491.99","1","1","1","111","Hibernating"
"2530","380","31","15484.31","2","1","1","211","Others"
"1130","385","26","15449.37","3","1","1","311","Others"
"4246","368","28","15426.72","1","1","1","111","Hibernating"
"4537","369","29","15417.56","1","1","1","111","Hibernating"
"973","376","28","15412.66","2","1","1","211","Others"
"2230","375","30","15396.39","1","1","1","111","Hibernating"
"2138","428","25","15395.62","5","1","1","511","New Customers"
"3910","389","26","15376.61","3","1","1","311","Others"
"3485","370","25","15340.25","1","1","1","111","Hibernating"
"4807","386","28","15340.20","3","1","1","311","Others"
"1624","460","28","15340.02","5","1","1","511","New Customers"
"3037","402","26","15337.46","4","1","1","411","Others"
"3338","443","27","15332.87","5","1","1","511","New Customers"
"3318","378","31","15330.54","2","1","1","211","Others"
"1221","400","29","15329.53","4","1","1","411","Others"
"3608","419","27","15325.26","4","1","1","411","Others"
"2660","383","24","15314.87","2","1","1","211","Others"
"4984","384","34","15304.98","2","1","1","211","Others"
"2147","383","33","15303.89","2","1","1","211","Others"
"4266","384","24","15297.17","2","1","1","211","Others"
"782","393","35","15283.45","3","1","1","311","Others"
"2655","431","23","15279.02","5","2","1","521","Others"
"2212","459","26","15244.74","5","1","1","511","New Customers"
"2630","374","24","15216.08","1","1","1","111","Hibernating"
"302","371","26","15214.35","1","1","1","111","Hibernating"
"863","373","32","15211.74","1","1","1","111","Hibernating"
"1291","433","25","15197.91","5","1","1","511","New Customers"
"118","385","27","15182.94","3","1","1","311","Others"
"1270","391","26","15176.30","3","1","1","311","Others"
"852","404","25","15169.42","4","1","1","411","Others"
"3667","386","28","15165.57","3","1","1","311","Others"
"2491","371","26","15144.60","1","1","1","111","Hibernating"
"276","375","32","15142.94","1","1","1","111","Hibernating"
"4307","370","25","15135.69","1","1","1","111","Hibernating"
"3796","370","33","15090.85","1","1","1","111","Hibernating"
"1555","369","25","15087.93","1","1","1","111","Hibernating"
"4705","374","25","15086.84","1","1","1","111","Hibernating"
"4514","405","27","15085.94","4","1","1","411","Others"
"4685","379","32","15062.50","2","1","1","211","Others"
"2609","368","30","15019.20","1","1","1","111","Hibernating"
"3012","423","28","14999.93","5","1","1","511","New Customers"
"3657","427","25","14998.19","5","1","1","511","New Customers"
"3137","402","30","14993.98","4","1","1","411","Others"
"4769","433","25","14989.60","5","1","1","511","New Customers"
"1807","390","33","14960.82","3","1","1","311","Others"
"4284","451","23","14958.90","5","2","1","521","Others"
"3126","369","28","14950.82","1","1","1","111","Hibernating"
"3374","404","28","14948.35","4","1","1","411","Others"
"3469","438","30","14936.33","5","1","1","511","New Customers"
"3986","382","26","14931.79","2","1","1","211","Others"
"1999","383","27","14923.67","2","1","1","211","Others"
"4482","408","29","14922.95","4","1","1","411","Others"
"3620","371","34","14915.16","1","1","1","111","Hibernating"
"515","404","27","14911.80","4","1","1","411","Others"
"996","393","31","14909.38","3","1","1","311","Others"
"2477","445","28","14907.23","5","1","1","511","New Customers"
"554","395","24","14899.33","3","1","1","311","Others"
"2211","382","25","14898.99","2","1","1","211","Others"
"291","389","20","14871.64","3","3","1","331","Need Attention"
"2909","390","27","14855.16","3","1","1","311","Others"
"4239","431","24","14851.71","5","2","1","521","Others"
"3521","375","27","14840.18","1","1","1","111","Hibernating"
"2059","390","28","14836.70","3","1","1","311","Others"
"1336","390","28","14833.85","3","1","1","311","Others"
"2671","399","30","14833.63","4","1","1","411","Others"
"2936","368","25","14825.09","1","1","1","111","Hibernating"
"1510","381","26","14815.55","2","1","1","211","Others"
"4906","392","23","14812.44","3","2","1","321","Need Attention"
"4981","413","30","14785.97","4","1","1","411","Others"
"4330","376","25","14784.50","2","1","1","211","Others"
"2131","368","29","14781.82","1","1","1","111","Hibernating"
"2628","389","27","14766.59","3","1","1","311","Others"
"3404","408","31","14762.67","4","1","1","411","Others"
"4114","454","29","14759.24","5","1","1","511","New Customers"
"3829","368","27","14755.98","1","1","1","111","Hibernating"
"600","378","23","14745.16","2","2","1","221","Others"
"4891","376","29","14744.67","2","1","1","211","Others"
